sample_start,sample_end,variable,label,transformation,test,deterministic,nlags_requested,lags_used,statistic,p_value,critical_1pct,critical_5pct,critical_10pct,reject_at_5pct,warning,nobs
2010-08-01,2025-12-01,log_mci_frontier,"Log MCI, frontier efficiency",level,KPSS,c,18,18,1.0035938294516424,0.01,0.739,0.463,0.347,True,The test statistic is outside of the range of p-values available in the,185
2010-08-01,2025-12-01,log_mci_frontier,"Log MCI, frontier efficiency",level,KPSS,c,24,24,0.7948412504023348,0.01,0.739,0.463,0.347,True,The test statistic is outside of the range of p-values available in the,185
2010-08-01,2025-12-01,log_mci_frontier,"Log MCI, frontier efficiency",level,KPSS,ct,auto,9,0.41273631856519943,0.01,0.216,0.146,0.119,True,The test statistic is outside of the range of p-values available in the,185
2010-08-01,2025-12-01,log_mci_frontier,"Log MCI, frontier efficiency",level,KPSS,ct,legacy,14,0.2945749958017624,0.01,0.216,0.146,0.119,True,The test statistic is outside of the range of p-values available in the,185
2010-08-01,2025-12-01,log_mci_frontier,"Log MCI, frontier efficiency",level,KPSS,ct,1,1,1.796203129759328,0.01,0.216,0.146,0.119,True,The test statistic is outside of the range of p-values available in the,185
2010-08-01,2025-12-01,log_mci_frontier,"Log MCI, frontier efficiency",level,KPSS,ct,2,2,1.221233568263647,0.01,0.216,0.146,0.119,True,The test statistic is outside of the range of p-values available in the,185
2010-08-01,2025-12-01,log_mci_frontier,"Log MCI, frontier efficiency",level,KPSS,ct,3,3,0.9334569736038598,0.01,0.216,0.146,0.119,True,The test statistic is outside of the range of p-values available in the,185
2010-08-01,2025-12-01,log_mci_frontier,"Log MCI, frontier efficiency",level,KPSS,ct,4,4,0.7604272964518062,0.01,0.216,0.146,0.119,True,The test statistic is outside of the range of p-values available in the,185
2010-08-01,2025-12-01,log_mci_frontier,"Log MCI, frontier efficiency",level,KPSS,ct,6,6,0.5622868121883827,0.01,0.216,0.146,0.119,True,The test statistic is outside of the range of p-values available in the,185
2010-08-01,2025-12-01,log_mci_frontier,"Log MCI, frontier efficiency",level,KPSS,ct,8,8,0.4517807041171785,0.01,0.216,0.146,0.119,True,The test statistic is outside of the range of p-values available in the,185
2010-08-01,2025-12-01,log_mci_frontier,"Log MCI, frontier efficiency",level,KPSS,ct,9,9,0.41273631856519943,0.01,0.216,0.146,0.119,True,The test statistic is outside of the range of p-values available in the,185
2010-08-01,2025-12-01,log_mci_frontier,"Log MCI, frontier efficiency",level,KPSS,ct,12,12,0.330978749942149,0.01,0.216,0.146,0.119,True,The test statistic is outside of the range of p-values available in the,185
2010-08-01,2025-12-01,log_mci_frontier,"Log MCI, frontier efficiency",level,KPSS,ct,18,18,0.24522778685674454,0.01,0.216,0.146,0.119,True,The test statistic is outside of the range of p-values available in the,185
