month,bitcoin_market_price_usd_monthly,network_difficulty_monthly,blocks_mined_monthly,total_transaction_fees_btc_monthly,new_coins_issued_btc_monthly,total_miner_compensation_btc_monthly,total_miner_compensation_usd_monthly,miner_compensation_per_block_btc_monthly,implied_block_subsidy_btc_monthly,coinmetrics_bitcoin_price_usd_monthly,bitcoinvisuals_block_subsidy_btc_monthly,analysis_sample,daily_observations,calendar_days_in_month,price_observation_days,difficulty_observation_days,blocks_observation_days,compensation_observation_days,complete_price_month,complete_backbone_month,frontier_efficiency_j_per_th,frontier_hardware_model,frontier_hardware_type,frontier_release_date,frontier_changed,eta_weighted_avg_j_per_th,n_active_devices,sum_weights,energy_per_block_frontier_j,energy_per_block_weighted_j,mci_frontier_j_per_btc,mci_weighted_j_per_btc,log_bitcoin_market_price_usd,log_mci_frontier,log_mci_weighted
2014-06-01,614.9848108935289,12502750923.24575,5120.0,329.08962854,128000.0,128329.08962854,78743659.1452227,25.064275318074216,25.0,615.1821912526788,25.0,True,30,30,30,30,30,30,True,True,2000.0,Bitmain Antminer S1,ASIC,2013-11-01,False,929735.9727272724,7.0,4.4,107397812650.74861,49925804906812.56,4284895983.938641,1991910967831.1877,6.421597569767425,22.178362114241466,28.320115579228247
2014-07-01,618.1473522432526,17406848597.561153,4732.0,334.74138833,118300.0,118634.74138833,73294677.35558733,25.070739938362216,25.0,618.03221931766,25.0,True,31,31,31,31,31,31,True,True,765.7,Bitmain Antminer S3,ASIC,2014-07-01,True,929735.9727272724,7.0,4.4,57245145063.32276,69508777105083.19,2283344855.5592327,2772506008038.6265,6.426726863087381,21.548907246770025,28.650772723179813
2014-08-01,537.7787011871027,21098286537.443104,5127.0,371.91031851,128175.0,128546.91031851,68742052.94940867,25.072539558905792,25.0,536.2484526854132,25.0,True,31,31,31,31,31,31,True,True,765.7,Bitmain Antminer S3,ASIC,2014-07-01,False,970437.6857142856,7.0,4.2,69385016285.64171,87937618685498.42,2767370896.858196,3507327946532.7593,6.2874471394564395,21.741163571723863,28.885875594700003
2014-09-01,446.9419195265052,29594537627.92407,4738.0,390.81452598,118450.0,118840.81452598,52838623.20479469,25.08248512578725,25.0,443.90559565836736,25.0,True,30,30,30,30,30,30,True,True,765.7,Bitmain Antminer S3,ASIC,2014-07-01,False,783962.3038461539,8.0,5.199999999999999,97326267307.79063,99647544395144.5,3880248181.936713,3972793919558.5156,6.102428652226244,22.079164952952635,29.01049072118125
2014-10-01,363.3442921985982,35199900585.26987,4670.0,385.19784236,116750.0,117135.19784236,42445391.93619493,25.082483478021413,25.0,362.9962296934447,25.0,True,31,31,31,31,31,31,True,True,765.7,Bitmain Antminer S3,ASIC,2014-07-01,False,813600.7959999999,8.0,5.0,115760380399.96713,123002138747128.14,4615188145.20111,4903905901299.968,5.895350848114706,22.25261847226115,29.22105312622583
2014-11-01,366.2058376727752,39399808417.62865,4424.0,390.18532164,110600.0,110990.18532164,40564161.10934176,25.088197405434,25.0,365.9209596337424,25.0,True,30,30,30,30,30,30,True,True,765.7,Bitmain Antminer S3,ASIC,2014-07-01,False,747285.7749999999,8.0,4.8,129572434418.1568,126456362900364.31,5164676932.5121765,5040472253019.4375,5.9031955733279196,22.365108388193313,29.248520894618082
2014-12-01,342.815465004806,39825656670.672646,4498.0,410.8476534,112450.0,112860.8476534,38528899.08008263,25.09134007412183,25.0,341.98290187153344,25.0,True,31,31,31,31,31,31,True,True,510.8,Bitmain Antminer S5,ASIC,2014-12-01,True,747285.7749999999,8.0,4.8,87372285314.90807,127823151811026.2,3482168949.7971544,5094313473629.801,5.83719229948901,21.970921198022015,29.25914602840748
2015-01-01,252.05438245751031,42441567537.373,4531.0,450.13603206,113275.0,113725.13603206,28519649.892584074,25.09934584684617,25.0,249.76138098829207,25.0,True,31,31,31,31,31,31,True,True,510.8,Bitmain Antminer S5,ASIC,2014-12-01,False,779689.504347826,8.0,4.6,93111251843.28726,142125814015070.97,3709708309.190339,5662530604674.29,5.5296448676320376,22.034219087615067,29.364892011522088
2015-02-01,234.02319268100317,44023752590.41254,4219.0,385.69120915,105475.0,105860.69120915,24861886.599714715,25.091417684083904,25.0,234.839366295817,25.0,True,28,28,28,28,28,28,True,True,510.8,Bitmain Antminer S5,ASIC,2014-12-01,False,643725.8444444444,9.0,5.4,96582359049.83714,121716054498420.03,3849218894.917272,4850903844131.034,5.455420224467613,22.0711360802252,29.21018616312979
2015-03-01,269.5327045101863,47052539740.395424,4551.0,451.79613664,113775.0,114226.79613664,30751285.319044475,25.0992740357372,25.0,269.7339312701495,25.0,True,31,31,31,31,31,31,True,True,510.8,Bitmain Antminer S5,ASIC,2014-12-01,False,643725.8444444444,9.0,5.4,103227122178.65973,130089989025112.69,4112753302.413506,5183017996452.254,5.596689735528863,22.13735854443315,29.27640862733774
2015-04-01,235.54872596925065,48470603157.51336,4254.0,563.21877777,106350.0,106913.21877777,25206447.786945548,25.132397455987302,25.0,235.7140868108319,25.0,True,30,30,30,30,30,30,True,True,510.8,Bitmain Antminer S5,ASIC,2014-12-01,False,423312.0919999999,9.0,5.0,106338167967.54938,88124965430287.2,4231119142.2852654,3506428926433.087,5.461917796382752,22.1657323676557,28.88561923562715
2015-05-01,237.45305873753463,48203489562.64771,4465.0,495.11940373,111625.0,112120.11940373,26570042.902028084,25.11088900419485,25.0,237.02738690663892,25.0,True,31,31,31,31,31,31,True,True,510.8,Bitmain Antminer S5,ASIC,2014-12-01,False,423312.0919999999,9.0,5.0,105752155653.55086,87639323107310.55,4211406280.1952033,3490092409419.2817,5.4699699565189634,22.161062462164523,28.880949330135973
2015-06-01,237.66132297849123,48802413542.46812,4382.0,568.35488739,109550.0,110118.35488739,26183461.430800643,25.129702165082158,25.0,238.0088416027081,25.0,True,30,30,30,30,30,30,True,True,510.8,Bitmain Antminer S5,ASIC,2014-12-01,False,423312.0919999999,9.0,5.0,107066116582.79633,88728233737234.52,4260540609.652159,3530811195228.681,5.470846647531951,22.172661892850314,28.892548760821768
2015-07-01,279.25813175739347,50753647100.255135,4583.0,954.1495891,114575.0,115529.1495891,32332244.786421444,25.208193233493343,25.0,280.00179527390134,25.0,True,31,31,31,31,31,31,True,True,510.8,Bitmain Antminer S5,ASIC,2014-12-01,False,423312.0919999999,9.0,5.0,111346867972.2024,92275794085671.06,4417090385.6869545,3660547712839.1367,5.632136557515997,22.208747032490884,28.928633900462334
2015-08-01,253.2697518194954,53106846158.99677,4595.0,780.70549511,114875.0,115655.70549511,29042361.228133257,25.16990326335365,25.0,251.44234469921528,25.0,True,31,31,31,31,31,31,True,True,510.8,Bitmain Antminer S5,ASIC,2014-12-01,False,437825.09583333327,9.0,4.8,116509479131.7204,99864475071137.88,4628920417.876752,3967614576275.9634,5.534455133451715,22.255589506771017,29.00918616763849
2015-09-01,234.66261777633517,57717884513.13586,4469.0,827.26921343,111725.0,112552.26921343,26348099.465312168,25.185112824665477,25.0,234.07230811583867,25.0,True,30,30,30,30,30,30,True,True,273.4,Bitmain Antminer S7,ASIC,2015-09-01,True,456827.6782608695,9.0,4.6,67774882971.80627,113245948911530.36,2691069261.577012,4496543243618.943,5.458148813547058,21.713204446589987,29.13433004942786
